game_name,metascore,critic_reviews,user_score,user_score_rating,developer,game_genre,num_players,Cheats,rating_number
Mega Man Zero / ZX Legacy Collection,83,27,8.5,113,"Capcom,Access Games","Miscellaneous,Compilation",No Online Multiplayer,On GameFAQs,T
OlliOlli: Switch Stance,83,18,7.4,17,Gambitious,"Miscellaneous,Compilation",No Online Multiplayer,On GameFAQs,
Cupid Parasite,83,7,6.5,4,Otomate,"Adventure,Visual Novel",No Online Multiplayer,On GameFAQs,T
Moonlighter,83,23,7.9,121,"11 bit studios,Digital Sun","Role-Playing,Action RPG",No Online Multiplayer,On GameFAQs,E10+
GRIS,83,43,8.5,324,Nomada Studio,"Action,Platformer,2D",No Online Multiplayer,On GameFAQs,E
UnderMine,83,9,7.5,11,Thorium Entertainment,"Action,Action Adventure,General",No Online Multiplayer,On GameFAQs,E10+
LIMBO,83,27,8.2,83,PLAYDEAD,"Action,Platformer,2D",No Online Multiplayer,On GameFAQs,T
Xenoblade Chronicles 2,83,92,8.6,2224,Monolith Soft,"Role-Playing,Action RPG",No Online Multiplayer,On GameFAQs,T
Dark Souls Remastered,83,51,8,336,From Software,"Role-Playing,Action RPG",Up to 6,On GameFAQs,M
Collection of Mana,83,23,8,46,M2,"Miscellaneous,Compilation",No Online Multiplayer,On GameFAQs,E10+
Overcooked! 2: Surf 'n' Turf,83,8,7.4,8,Ghost Town Games Ltd.,"Action,Arcade",,On GameFAQs,E
Chicken Police - Paint it RED!,83,13,6.6,5,HandyGames,"Adventure,Visual Novel",No Online Multiplayer,On GameFAQs,M
Sega Ages: Sonic the Hedgehog 2,83,15,8.1,14,"Sonic Team,M2","Action,Platformer,2D",No Online Multiplayer,On GameFAQs,E
Gorogoa,83,16,7.9,56,"Jason Roberts,Buried Signal","Puzzle,General",No Online Multiplayer,On GameFAQs,E
Katana ZERO,83,37,8.6,228,Askiisoft,"Action,Platformer,2D",No Online Multiplayer,On GameFAQs,M
Killer Queen Black,83,19,8.1,55,Liquid Bit,"Action,Action Adventure,General,Arcade",Up to 8,On GameFAQs,E10+
Star Wars: Knights of the Old Republic,83,26,7.8,16,Aspyr,"Role-Playing,General,Western-Style",No Online Multiplayer,On GameFAQs,T
Splasher,83,7,8.1,27,Splashteam,"Action,Platformer,2D",No Online Multiplayer,On GameFAQs,E
Pokemon Legends: Arceus,83,114,8.2,3204,Game Freak,"Role-Playing,Trainer",,On GameFAQs,E
Dynasty Warriors 8: Xtreme Legends - Definitive Edition,83,14,8,21,Omega Force,"Action,Beat-'Em-Up,3D",No Online Multiplayer,On GameFAQs,T
The Last Campfire,83,11,7.5,43,Hello Games,"Puzzle,Action",No Online Multiplayer,On GameFAQs,
Flipping Death,83,12,7.6,28,Zoink!,"Action,Action Adventure,General",No Online Multiplayer,On GameFAQs,T
Worms W.M.D,83,21,7.7,51,Team17,"Strategy,Turn-Based,Artillery",Up to 6,On GameFAQs,E10+
Code:Realize - Guardian of Rebirth,83,7,6.8,16,Otomate,"Adventure,Visual Novel",No Online Multiplayer,On GameFAQs,T
Reventure,83,7,8,14,Pixelatto,"Action,Action Adventure,Platformer,Open-World,2D",No Online Multiplayer,On GameFAQs,T
Triangle Strategy,82,96,8.1,223,"Square Enix,Artdink","Strategy,Turn-Based,Tactics",No Online Multiplayer,On GameFAQs,T
Atelier Mysterious Trilogy Deluxe Pack,82,14,tbd,,Gust,"Miscellaneous,Compilation",No Online Multiplayer,On GameFAQs,T
